Borough,Postcode,YearMonth,IncidentCount,Fatality,Injury,AvgTemp,AvgPrecip,HVI
Bronx,10471,2024-04,1,0,1,53.3,4.5,1.0
Bronx,10472,2024-01,1,0,1,32.8,3.7,4.0
Bronx,10473,2024-03,2,0,1,42.7,4.4,4.0
Bronx,10473,2024-12,1,0,0,37.8,4.0,4.0
Bronx,10474,2024-05,1,0,1,62.6,4.2,5.0
Bronx,10474,2024-08,2,0,2,75.5,4.4,5.0
Bronx,10474,2024-11,2,0,2,47.9,4.0,5.0
Bronx,10475,2024-07,1,0,0,76.7,4.6,4.0
Brooklyn,11201,2024-01,3,0,2,32.8,3.7,2.0
Brooklyn,11201,2024-02,3,0,3,35.5,3.1,2.0
Brooklyn,11201,2024-03,3,0,2,42.7,4.4,2.0
Brooklyn,11201,2024-05,2,0,2,62.6,4.2,2.0
Brooklyn,11201,2024-06,8,0,7,71.7,4.4,2.0
Brooklyn,11201,2024-07,2,0,2,76.7,4.6,2.0
Brooklyn,11201,2024-08,1,0,1,75.5,4.4,2.0
Brooklyn,11201,2024-09,2,0,2,68.2,4.3,2.0
Brooklyn,11201,2024-10,1,0,1,57.2,4.4,2.0
Brooklyn,11201,2024-11,2,0,1,47.9,4.0,2.0
Brooklyn,11201,2024-12,1,0,1,37.8,4.0,2.0
Brooklyn,11203,2024-03,2,0,3,42.7,4.4,5.0
Brooklyn,11203,2024-06,2,0,1,71.7,4.4,5.0
Brooklyn,11203,2024-08,1,0,0,75.5,4.4,5.0
Brooklyn,11203,2024-10,1,0,1,57.2,4.4,5.0
Brooklyn,11203,2024-11,1,0,1,47.9,4.0,5.0
Brooklyn,11204,2024-02,1,0,0,35.5,3.1,4.0
Brooklyn,11204,2024-05,1,0,0,62.6,4.2,4.0
Brooklyn,11204,2024-08,1,0,1,75.5,4.4,4.0
Brooklyn,11205,2024-01,1,0,1,32.8,3.7,4.0
Brooklyn,11205,2024-03,1,0,0,42.7,4.4,4.0
Brooklyn,11205,2024-05,1,0,0,62.6,4.2,4.0
Brooklyn,11205,2024-09,1,0,1,68.2,4.3,4.0
Brooklyn,11206,2024-02,2,0,2,35.5,3.1,4.0
Brooklyn,11206,2024-03,1,0,0,42.7,4.4,4.0
Brooklyn,11206,2024-04,1,0,1,53.3,4.5,4.0
Brooklyn,11206,2024-05,1,0,1,62.6,4.2,4.0
Brooklyn,11206,2024-06,1,0,1,71.7,4.4,4.0
Brooklyn,11206,2024-07,1,0,0,76.7,4.6,4.0
Brooklyn,11206,2024-09,2,0,1,68.2,4.3,4.0
Brooklyn,11206,2024-10,1,0,0,57.2,4.4,4.0
Brooklyn,11206,2024-11,1,0,0,47.9,4.0,4.0
Brooklyn,11207,2024-01,1,0,1,32.8,3.7,5.0
Brooklyn,11207,2024-04,1,0,1,53.3,4.5,5.0
Brooklyn,11207,2024-06,1,0,1,71.7,4.4,5.0
Brooklyn,11207,2024-07,1,0,0,76.7,4.6,5.0
Brooklyn,11207,2024-09,1,0,0,68.2,4.3,5.0
Brooklyn,11208,2024-01,1,0,0,32.8,3.7,4.0
Brooklyn,11208,2024-07,1,0,1,76.7,4.6,4.0
Brooklyn,11208,2024-12,1,0,1,37.8,4.0,4.0
Brooklyn,11209,2024-04,1,0,1,53.3,4.5,2.0
Brooklyn,11209,2024-09,1,0,1,68.2,4.3,2.0
Brooklyn,11210,2024-12,1,0,1,37.8,4.0,5.0
Brooklyn,11211,2024-01,1,0,1,32.8,3.7,3.0
Brooklyn,11211,2024-05,1,0,0,62.6,4.2,3.0
Brooklyn,11211,2024-09,1,0,1,68.2,4.3,3.0
Brooklyn,11211,2024-11,2,0,2,47.9,4.0,3.0
Brooklyn,11212,2024-03,2,0,2,42.7,4.4,5.0
Brooklyn,11212,2024-06,2,0,2,71.7,4.4,5.0
Brooklyn,11212,2024-07,2,0,1,76.7,4.6,5.0
Brooklyn,11212,2024-08,1,0,1,75.5,4.4,5.0
Brooklyn,11212,2024-10,2,0,2,57.2,4.4,5.0
Brooklyn,11212,2024-12,1,0,1,37.8,4.0,5.0
Brooklyn,11213,2024-01,1,0,0,32.8,3.7,5.0
Brooklyn,11213,2024-02,1,0,1,35.5,3.1,5.0
Brooklyn,11213,2024-05,1,0,1,62.6,4.2,5.0
Brooklyn,11213,2024-09,1,0,1,68.2,4.3,5.0
Brooklyn,11213,2024-10,1,0,0,57.2,4.4,5.0
Brooklyn,11214,2024-02,1,1,0,35.5,3.1,4.0
Brooklyn,11215,2024-01,4,0,4,32.8,3.7,1.0
Brooklyn,11215,2024-02,1,0,0,35.5,3.1,1.0
Brooklyn,11215,2024-03,2,0,2,42.7,4.4,1.0
Brooklyn,11215,2024-04,4,0,4,53.3,4.5,1.0
Brooklyn,11215,2024-05,2,0,0,62.6,4.2,1.0
Brooklyn,11215,2024-06,1,0,1,71.7,4.4,1.0
Brooklyn,11215,2024-07,1,0,1,76.7,4.6,1.0
Brooklyn,11215,2024-08,3,0,2,75.5,4.4,1.0
Brooklyn,11215,2024-10,1,0,1,57.2,4.4,1.0
Brooklyn,11215,2024-11,1,0,1,47.9,4.0,1.0
Brooklyn,11216,2024-05,2,0,2,62.6,4.2,4.0
Brooklyn,11216,2024-06,1,0,1,71.7,4.4,4.0
Brooklyn,11216,2024-07,1,0,1,76.7,4.6,4.0
Brooklyn,11216,2024-11,1,0,1,47.9,4.0,4.0
Brooklyn,11217,2024-01,1,0,1,32.8,3.7,2.0
Brooklyn,11217,2024-03,2,0,1,42.7,4.4,2.0
Brooklyn,11217,2024-04,2,0,1,53.3,4.5,2.0
Brooklyn,11217,2024-05,2,0,1,62.6,4.2,2.0
Brooklyn,11217,2024-06,1,0,1,71.7,4.4,2.0
Brooklyn,11217,2024-07,1,0,0,76.7,4.6,2.0
Brooklyn,11217,2024-08,1,0,1,75.5,4.4,2.0
Brooklyn,11217,2024-09,2,0,2,68.2,4.3,2.0
Brooklyn,11217,2024-10,1,0,1,57.2,4.4,2.0
Brooklyn,11217,2024-11,1,0,1,47.9,4.0,2.0
Brooklyn,11218,2024-01,1,0,1,32.8,3.7,3.0
Brooklyn,11218,2024-03,2,0,1,42.7,4.4,3.0
Brooklyn,11218,2024-04,1,0,0,53.3,4.5,3.0
Brooklyn,11218,2024-06,1,0,1,71.7,4.4,3.0
Brooklyn,11219,2024-02,2,1,0,35.5,3.1,4.0
Brooklyn,11219,2024-04,1,0,1,53.3,4.5,4.0
Brooklyn,11219,2024-05,1,0,0,62.6,4.2,4.0
Brooklyn,11219,2024-08,1,0,0,75.5,4.4,4.0
Brooklyn,11219,2024-10,2,0,0,57.2,4.4,4.0
Brooklyn,11220,2024-06,1,0,0,71.7,4.4,3.0
Brooklyn,11220,2024-07,3,0,2,76.7,4.6,3.0
Brooklyn,11221,2024-01,2,0,2,32.8,3.7,4.0
Brooklyn,11221,2024-02,1,0,0,35.5,3.1,4.0
Brooklyn,11221,2024-03,1,0,2,42.7,4.4,4.0
Brooklyn,11221,2024-04,1,0,1,53.3,4.5,4.0
Brooklyn,11221,2024-05,2,0,1,62.6,4.2,4.0
Brooklyn,11221,2024-06,1,0,1,71.7,4.4,4.0
Brooklyn,11221,2024-07,1,0,0,76.7,4.6,4.0
Brooklyn,11221,2024-08,1,0,0,75.5,4.4,4.0
Brooklyn,11221,2024-10,1,0,0,57.2,4.4,4.0
Brooklyn,11221,2024-12,1,0,1,37.8,4.0,4.0
Brooklyn,11222,2024-01,1,0,1,32.8,3.7,3.0
Brooklyn,11222,2024-04,1,0,1,53.3,4.5,3.0
Brooklyn,11222,2024-05,3,0,2,62.6,4.2,3.0
Brooklyn,11222,2024-06,1,0,1,71.7,4.4,3.0
Brooklyn,11222,2024-07,3,0,3,76.7,4.6,3.0
Brooklyn,11222,2024-08,1,0,1,75.5,4.4,3.0
Brooklyn,11222,2024-09,1,0,1,68.2,4.3,3.0
Brooklyn,11222,2024-12,2,0,2,37.8,4.0,3.0
Brooklyn,11223,2024-01,2,0,2,32.8,3.7,4.0
Brooklyn,11223,2024-03,1,0,1,42.7,4.4,4.0
Brooklyn,11223,2024-06,2,0,1,71.7,4.4,4.0
Brooklyn,11223,2024-08,1,0,1,75.5,4.4,4.0
Brooklyn,11224,2024-01,1,0,1,32.8,3.7,5.0
Brooklyn,11224,2024-03,1,0,1,42.7,4.4,5.0
Brooklyn,11224,2024-04,1,0,1,53.3,4.5,5.0
Brooklyn,11224,2024-07,3,0,3,76.7,4.6,5.0
Brooklyn,11224,2024-09,2,0,1,68.2,4.3,5.0
Brooklyn,11224,2024-10,1,0,1,57.2,4.4,5.0
Brooklyn,11225,2024-03,1,0,1,42.7,4.4,5.0
Brooklyn,11226,2024-02,1,0,1,35.5,3.1,5.0
Brooklyn,11226,2024-03,1,0,1,42.7,4.4,5.0
Brooklyn,11226,2024-06,1,0,0,71.7,4.4,5.0
Brooklyn,11226,2024-08,1,0,1,75.5,4.4,5.0
Brooklyn,11228,2024-01,1,0,0,32.8,3.7,3.0
Brooklyn,11228,2024-03,1,0,0,42.7,4.4,3.0
Brooklyn,11229,2024-11,1,0,0,47.9,4.0,3.0
Brooklyn,11230,2024-04,1,0,0,53.3,4.5,4.0
Brooklyn,11230,2024-10,1,0,0,57.2,4.4,4.0
Brooklyn,11231,2024-04,2,0,1,53.3,4.5,2.0
Brooklyn,11231,2024-06,3,0,2,71.7,4.4,2.0
Brooklyn,11231,2024-07,3,0,3,76.7,4.6,2.0
Brooklyn,11231,2024-09,1,0,1,68.2,4.3,2.0
Brooklyn,11231,2024-10,2,0,0,57.2,4.4,2.0
Brooklyn,11232,2024-03,1,0,0,42.7,4.4,4.0
Brooklyn,11232,2024-09,1,0,0,68.2,4.3,4.0
Brooklyn,11233,2024-05,1,0,1,62.6,4.2,5.0
Brooklyn,11233,2024-12,1,0,1,37.8,4.0,5.0
Brooklyn,11235,2024-02,1,0,1,35.5,3.1,3.0
Brooklyn,11235,2024-07,1,0,1,76.7,4.6,3.0
Brooklyn,11236,2024-06,1,0,0,71.7,4.4,5.0
Brooklyn,11237,2024-06,1,0,0,71.7,4.4,4.0
Brooklyn,11238,2024-05,1,0,0,62.6,4.2,2.0
Brooklyn,11238,2024-06,1,0,1,71.7,4.4,2.0
Brooklyn,11238,2024-08,2,0,2,75.5,4.4,2.0
Brooklyn,11239,2024-01,1,0,1,32.8,3.7,3.0
Brooklyn,11239,2024-03,1,0,1,42.7,4.4,3.0
Brooklyn,11239,2024-04,1,0,1,53.3,4.5,3.0
Brooklyn,11239,2024-06,2,0,1,71.7,4.4,3.0
Brooklyn,11239,2024-07,1,0,1,76.7,4.6,3.0
Brooklyn,11239,2024-10,1,0,1,57.2,4.4,3.0
Brooklyn,11249,2024-01,1,0,1,32.8,3.7,3.0
Brooklyn,11249,2024-02,3,0,3,35.5,3.1,3.0
Brooklyn,11249,2024-04,2,0,2,53.3,4.5,3.0
Brooklyn,11249,2024-06,2,0,2,71.7,4.4,3.0
Brooklyn,11249,2024-07,1,0,1,76.7,4.6,3.0
Brooklyn,11249,2024-08,1,0,1,75.5,4.4,3.0
Brooklyn,11249,2024-12,1,0,0,37.8,4.0,3.0
Manhattan,10001,2024-02,3,0,3,35.5,3.1,2.0
Manhattan,10001,2024-03,1,0,1,42.7,4.4,2.0
Manhattan,10001,2024-04,2,0,2,53.3,4.5,2.0
Manhattan,10001,2024-05,1,0,1,62.6,4.2,2.0
Manhattan,10001,2024-06,1,0,2,71.7,4.4,2.0
Manhattan,10001,2024-07,1,0,1,76.7,4.6,2.0
Manhattan,10001,2024-09,1,0,1,68.2,4.3,2.0
Manhattan,10001,2024-11,1,0,1,47.9,4.0,2.0
Manhattan,10002,2024-01,1,0,0,32.8,3.7,3.0
Manhattan,10002,2024-02,1,0,1,35.5,3.1,3.0
Manhattan,10002,2024-03,3,0,3,42.7,4.4,3.0
Manhattan,10002,2024-04,3,0,3,53.3,4.5,3.0
Manhattan,10002,2024-10,1,0,1,57.2,4.4,3.0
Manhattan,10002,2024-11,1,0,0,47.9,4.0,3.0
Manhattan,10003,2024-01,1,0,1,32.8,3.7,2.0
Manhattan,10003,2024-02,2,0,2,35.5,3.1,2.0
Manhattan,10003,2024-04,1,0,1,53.3,4.5,2.0
Manhattan,10003,2024-06,2,0,2,71.7,4.4,2.0
Manhattan,10003,2024-09,1,0,0,68.2,4.3,2.0
Manhattan,10003,2024-10,1,0,1,57.2,4.4,2.0
Manhattan,10003,2024-11,1,0,0,47.9,4.0,2.0
Manhattan,10004,2024-01,1,0,1,32.8,3.7,1.0
Manhattan,10004,2024-02,1,0,1,35.5,3.1,1.0
Manhattan,10004,2024-03,1,0,0,42.7,4.4,1.0
Manhattan,10004,2024-04,1,0,1,53.3,4.5,1.0
Manhattan,10004,2024-05,1,0,1,62.6,4.2,1.0
Manhattan,10004,2024-06,2,0,2,71.7,4.4,1.0
Manhattan,10005,2024-03,1,0,1,42.7,4.4,1.0
Manhattan,10005,2024-09,1,0,1,68.2,4.3,1.0
Manhattan,10005,2024-10,1,0,1,57.2,4.4,1.0
Manhattan,10005,2024-12,1,0,1,37.8,4.0,1.0
Manhattan,10006,2024-03,1,0,0,42.7,4.4,1.0
Manhattan,10006,2024-12,1,0,1,37.8,4.0,1.0
Manhattan,10007,2024-01,1,0,0,32.8,3.7,1.0
Manhattan,10007,2024-05,1,0,2,62.6,4.2,1.0
Manhattan,10009,2024-08,1,0,1,75.5,4.4,2.0
Manhattan,10009,2024-11,1,0,0,47.9,4.0,2.0
Manhattan,10010,2024-02,1,0,1,35.5,3.1,1.0
Manhattan,10010,2024-04,1,0,1,53.3,4.5,1.0
Manhattan,10010,2024-05,2,0,1,62.6,4.2,1.0
Manhattan,10010,2024-06,1,0,1,71.7,4.4,1.0
Manhattan,10010,2024-07,1,0,1,76.7,4.6,1.0
Manhattan,10010,2024-12,1,0,2,37.8,4.0,1.0
Manhattan,10011,2024-03,2,0,1,42.7,4.4,1.0
Manhattan,10011,2024-04,4,0,3,53.3,4.5,1.0
Manhattan,10011,2024-05,1,0,1,62.6,4.2,1.0
Manhattan,10011,2024-06,2,0,2,71.7,4.4,1.0
Manhattan,10011,2024-07,1,0,1,76.7,4.6,1.0
Manhattan,10011,2024-12,1,0,1,37.8,4.0,1.0
Manhattan,10012,2024-01,1,0,1,32.8,3.7,2.0
Manhattan,10012,2024-09,1,0,1,68.2,4.3,2.0
Manhattan,10012,2024-10,1,0,1,57.2,4.4,2.0
Manhattan,10013,2024-01,2,0,0,32.8,3.7,2.0
Manhattan,10013,2024-05,2,0,2,62.6,4.2,2.0
Manhattan,10013,2024-10,1,0,1,57.2,4.4,2.0
Manhattan,10014,2024-03,1,0,1,42.7,4.4,1.0
Manhattan,10014,2024-08,1,0,1,75.5,4.4,1.0
Manhattan,10014,2024-09,1,0,1,68.2,4.3,1.0
Manhattan,10014,2024-10,1,0,1,57.2,4.4,1.0
Manhattan,10016,2024-02,1,0,1,35.5,3.1,2.0
Manhattan,10016,2024-04,2,0,2,53.3,4.5,2.0
Manhattan,10016,2024-05,1,0,1,62.6,4.2,2.0
Manhattan,10016,2024-06,2,0,2,71.7,4.4,2.0
Manhattan,10016,2024-08,2,0,2,75.5,4.4,2.0
Manhattan,10016,2024-09,2,0,2,68.2,4.3,2.0
Manhattan,10016,2024-10,2,0,2,57.2,4.4,2.0
Manhattan,10016,2024-11,3,0,3,47.9,4.0,2.0
Manhattan,10016,2024-12,1,1,1,37.8,4.0,2.0
Manhattan,10017,2024-01,2,0,2,32.8,3.7,2.0
Manhattan,10017,2024-04,1,0,0,53.3,4.5,2.0
Manhattan,10017,2024-05,1,0,0,62.6,4.2,2.0
Manhattan,10017,2024-07,1,0,1,76.7,4.6,2.0
Manhattan,10017,2024-10,2,0,2,57.2,4.4,2.0
Manhattan,10017,2024-12,1,0,1,37.8,4.0,2.0
Manhattan,10018,2024-02,1,0,1,35.5,3.1,2.0
Manhattan,10018,2024-03,1,0,1,42.7,4.4,2.0
Manhattan,10018,2024-04,1,0,1,53.3,4.5,2.0
Manhattan,10018,2024-05,1,0,1,62.6,4.2,2.0
Manhattan,10018,2024-08,1,0,1,75.5,4.4,2.0
Manhattan,10018,2024-09,1,0,1,68.2,4.3,2.0
Manhattan,10018,2024-11,2,0,2,47.9,4.0,2.0
Manhattan,10018,2024-12,3,0,2,37.8,4.0,2.0
Manhattan,10019,2024-01,2,0,1,32.8,3.7,2.0
Manhattan,10019,2024-02,1,0,1,35.5,3.1,2.0
Manhattan,10019,2024-03,1,0,1,42.7,4.4,2.0
Manhattan,10019,2024-04,3,0,2,53.3,4.5,2.0
Manhattan,10019,2024-05,1,0,1,62.6,4.2,2.0
Manhattan,10019,2024-06,1,0,1,71.7,4.4,2.0
Manhattan,10019,2024-07,2,0,2,76.7,4.6,2.0
Manhattan,10019,2024-08,2,0,2,75.5,4.4,2.0
Manhattan,10019,2024-10,1,0,1,57.2,4.4,2.0
Manhattan,10019,2024-11,1,0,1,47.9,4.0,2.0
Manhattan,10019,2024-12,1,0,1,37.8,4.0,2.0
Manhattan,10021,2024-03,1,0,1,42.7,4.4,2.0
Manhattan,10021,2024-05,1,0,1,62.6,4.2,2.0
Manhattan,10021,2024-06,1,0,1,71.7,4.4,2.0
Manhattan,10021,2024-08,1,0,1,75.5,4.4,2.0
Manhattan,10022,2024-01,1,0,1,32.8,3.7,1.0
Manhattan,10022,2024-03,3,0,3,42.7,4.4,1.0
Manhattan,10022,2024-04,3,0,3,53.3,4.5,1.0
Manhattan,10022,2024-05,1,0,1,62.6,4.2,1.0
Manhattan,10022,2024-09,2,0,2,68.2,4.3,1.0
Manhattan,10022,2024-11,1,0,1,47.9,4.0,1.0
Manhattan,10022,2024-12,1,0,1,37.8,4.0,1.0
Manhattan,10023,2024-04,1,0,1,53.3,4.5,1.0
Manhattan,10023,2024-06,1,0,0,71.7,4.4,1.0
Manhattan,10023,2024-10,1,0,0,57.2,4.4,1.0
Manhattan,10024,2024-04,2,0,2,53.3,4.5,1.0
Manhattan,10024,2024-07,1,0,1,76.7,4.6,1.0
Manhattan,10024,2024-08,1,0,0,75.5,4.4,1.0
Manhattan,10024,2024-09,1,0,0,68.2,4.3,1.0
Manhattan,10024,2024-11,1,0,1,47.9,4.0,1.0
Manhattan,10024,2024-12,1,0,0,37.8,4.0,1.0
Manhattan,10025,2024-02,1,0,1,35.5,3.1,2.0
Manhattan,10025,2024-03,1,0,1,42.7,4.4,2.0
Manhattan,10027,2024-01,2,0,2,32.8,3.7,4.0
Manhattan,10027,2024-02,1,0,1,35.5,3.1,4.0
Manhattan,10027,2024-06,1,0,1,71.7,4.4,4.0
Manhattan,10027,2024-07,1,0,1,76.7,4.6,4.0
Manhattan,10027,2024-11,1,0,0,47.9,4.0,4.0
Manhattan,10027,2024-12,2,0,1,37.8,4.0,4.0
Manhattan,10028,2024-01,1,0,1,32.8,3.7,1.0
Manhattan,10029,2024-03,1,0,4,42.7,4.4,4.0
Manhattan,10029,2024-07,1,1,0,76.7,4.6,4.0
Manhattan,10029,2024-08,2,0,2,75.5,4.4,4.0
Manhattan,10029,2024-09,1,0,1,68.2,4.3,4.0
Manhattan,10029,2024-11,1,0,0,47.9,4.0,4.0
Manhattan,10029,2024-12,1,0,0,37.8,4.0,4.0
Manhattan,10031,2024-05,1,0,0,62.6,4.2,4.0
Manhattan,10032,2024-09,1,0,1,68.2,4.3,3.0
Manhattan,10032,2024-12,1,0,2,37.8,4.0,3.0
Manhattan,10033,2024-11,1,0,0,47.9,4.0,2.0
Manhattan,10034,2024-01,1,0,5,32.8,3.7,1.0
Manhattan,10034,2024-02,1,0,1,35.5,3.1,1.0
Manhattan,10034,2024-05,2,0,2,62.6,4.2,1.0
Manhattan,10034,2024-06,1,0,1,71.7,4.4,1.0
Manhattan,10034,2024-07,2,0,2,76.7,4.6,1.0
Manhattan,10034,2024-08,1,0,0,75.5,4.4,1.0
Manhattan,10034,2024-09,1,0,1,68.2,4.3,1.0
Manhattan,10034,2024-10,2,1,1,57.2,4.4,1.0
Manhattan,10035,2024-01,1,0,1,32.8,3.7,5.0
Manhattan,10036,2024-01,1,0,1,32.8,3.7,2.0
Manhattan,10036,2024-02,1,0,0,35.5,3.1,2.0
Manhattan,10036,2024-03,2,0,2,42.7,4.4,2.0
Manhattan,10036,2024-04,1,0,1,53.3,4.5,2.0
Manhattan,10036,2024-05,2,0,2,62.6,4.2,2.0
Manhattan,10036,2024-06,1,0,0,71.7,4.4,2.0
Manhattan,10036,2024-07,2,0,2,76.7,4.6,2.0
Manhattan,10036,2024-08,1,0,1,75.5,4.4,2.0
Manhattan,10036,2024-09,2,0,2,68.2,4.3,2.0
Manhattan,10036,2024-11,1,0,0,47.9,4.0,2.0
Manhattan,10036,2024-12,1,0,1,37.8,4.0,2.0
Manhattan,10037,2024-04,1,0,0,53.3,4.5,5.0
Manhattan,10037,2024-05,1,0,1,62.6,4.2,5.0
Manhattan,10037,2024-06,1,0,1,71.7,4.4,5.0
Manhattan,10037,2024-07,1,0,1,76.7,4.6,5.0
Manhattan,10037,2024-08,2,0,3,75.5,4.4,5.0
Manhattan,10037,2024-09,1,0,0,68.2,4.3,5.0
Manhattan,10038,2024-05,1,0,1,62.6,4.2,2.0
Manhattan,10038,2024-07,1,0,0,76.7,4.6,2.0
Manhattan,10038,2024-11,1,0,0,47.9,4.0,2.0
Manhattan,10038,2024-12,1,0,0,37.8,4.0,2.0
Manhattan,10039,2024-11,1,0,0,47.9,4.0,5.0
Manhattan,10040,2024-04,1,0,1,53.3,4.5,2.0
Manhattan,10040,2024-08,1,0,1,75.5,4.4,2.0
Manhattan,10065,2024-03,1,0,1,42.7,4.4,1.0
Manhattan,10065,2024-04,1,0,0,53.3,4.5,1.0
Manhattan,10065,2024-06,1,0,1,71.7,4.4,1.0
Manhattan,10065,2024-10,1,0,1,57.2,4.4,1.0
Manhattan,10065,2024-11,1,0,1,47.9,4.0,1.0
Manhattan,10065,2024-12,1,0,1,37.8,4.0,1.0
Manhattan,10075,2024-01,1,0,1,32.8,3.7,2.0
Manhattan,10075,2024-02,4,0,4,35.5,3.1,2.0
Manhattan,10075,2024-03,1,0,1,42.7,4.4,2.0
Manhattan,10075,2024-06,1,0,1,71.7,4.4,2.0
Manhattan,10075,2024-07,2,0,1,76.7,4.6,2.0
Manhattan,10128,2024-05,1,0,1,62.6,4.2,1.0
Manhattan,10128,2024-08,1,0,1,75.5,4.4,1.0
Manhattan,10128,2024-10,1,0,1,57.2,4.4,1.0
Manhattan,10128,2024-11,1,0,1,47.9,4.0,1.0
Queens,11101,2024-01,4,0,4,32.8,3.7,4.0
Queens,11101,2024-02,3,0,3,35.5,3.1,4.0
Queens,11101,2024-03,3,0,3,42.7,4.4,4.0
Queens,11101,2024-04,4,0,4,53.3,4.5,4.0
Queens,11101,2024-05,6,0,5,62.6,4.2,4.0
Queens,11101,2024-06,6,1,2,71.7,4.4,4.0
Queens,11101,2024-07,3,0,3,76.7,4.6,4.0
Queens,11101,2024-08,3,0,3,75.5,4.4,4.0
Queens,11101,2024-09,2,0,2,68.2,4.3,4.0
Queens,11101,2024-10,2,0,2,57.2,4.4,4.0
Queens,11101,2024-11,1,0,1,47.9,4.0,4.0
Queens,11101,2024-12,6,0,5,37.8,4.0,4.0
Queens,11102,2024-03,1,0,1,42.7,4.4,3.0
Queens,11104,2024-09,1,0,1,68.2,4.3,3.0
Queens,11105,2024-02,2,0,2,35.5,3.1,3.0
Queens,11105,2024-03,1,0,1,42.7,4.4,3.0
Queens,11105,2024-04,1,0,0,53.3,4.5,3.0
Queens,11105,2024-06,1,0,1,71.7,4.4,3.0
Queens,11105,2024-10,1,0,1,57.2,4.4,3.0
Queens,11106,2024-01,1,0,1,32.8,3.7,3.0
Queens,11354,2024-02,1,0,1,35.5,3.1,4.0
Queens,11354,2024-06,1,0,0,71.7,4.4,4.0
Queens,11354,2024-08,2,0,2,75.5,4.4,4.0
Queens,11354,2024-10,1,0,1,57.2,4.4,4.0
Queens,11354,2024-12,1,0,1,37.8,4.0,4.0
Queens,11357,2024-05,1,0,0,62.6,4.2,2.0
Queens,11358,2024-03,1,0,0,42.7,4.4,3.0
Queens,11361,2024-01,2,0,0,32.8,3.7,2.0
Queens,11367,2024-02,1,0,0,35.5,3.1,2.0
Queens,11368,2024-04,1,0,0,53.3,4.5,4.0
Queens,11368,2024-05,1,0,1,62.6,4.2,4.0
Queens,11368,2024-06,1,0,0,71.7,4.4,4.0
Queens,11368,2024-07,2,0,1,76.7,4.6,4.0
Queens,11368,2024-10,1,0,1,57.2,4.4,4.0
Queens,11372,2024-12,1,0,1,37.8,4.0,3.0
Queens,11375,2024-01,1,0,1,32.8,3.7,2.0
Queens,11375,2024-02,1,0,1,35.5,3.1,2.0
Queens,11375,2024-10,1,0,1,57.2,4.4,2.0
Queens,11377,2024-01,1,0,1,32.8,3.7,3.0
Queens,11377,2024-02,1,0,0,35.5,3.1,3.0
