Year,Month/Period,Mean Temperature,Mean Precipitation,Ensemble Average Mean Changes in Annual Temperature SSP2-4.5,Ensemble Average Mean Changes in Annual Temperature SSP5-8.5,Ensemble Average Mean Changes in Annual Precipitation SSP2-4.5,Ensemble Average Mean Changes in Annual Precipitation SSP5-8.5
Baseline,Annual,55.2°F,49.9 in.,n/a,n/a,n/a,n/a
Baseline,January,32.8°F,3.7 in.,n/a,n/a,n/a,n/a
Baseline,February,35.5°F,3.1 in.,n/a,n/a,n/a,n/a
Baseline,March,42.7°F,4.4 in.,n/a,n/a,n/a,n/a
Baseline,April,53.3°F,4.5 in.,n/a,n/a,n/a,n/a
Baseline,May,62.6°F,4.2 in.,n/a,n/a,n/a,n/a
Baseline,June,71.7°F,4.4 in.,n/a,n/a,n/a,n/a
Baseline,July,76.7°F,4.6 in.,n/a,n/a,n/a,n/a
Baseline,August,75.5°F,4.4 in.,n/a,n/a,n/a,n/a
Baseline,September,68.2°F,4.3 in.,n/a,n/a,n/a,n/a
Baseline,October,57.2°F,4.4 in.,n/a,n/a,n/a,n/a
Baseline,November,47.9°F,4.0 in.,n/a,n/a,n/a,n/a
Baseline,December,37.8°F,4.0 in.,n/a,n/a,n/a,n/a
Baseline,Winter,35.4°F,10.7 in.,n/a,n/a,n/a,n/a
Baseline,Spring,52.9°F,13.0 in.,n/a,n/a,n/a,n/a
Baseline,Summer,74.6°F,13.5 in.,n/a,n/a,n/a,n/a
Baseline,Fall,57.8°F,12.7 in.,n/a,n/a,n/a,n/a
2100,March,+4°F (+5.8°F to +10.1°F) +12.5°F,-10% (+9% to +50%) +75%,n/a,n/a,n/a,n/a
2100,April,+3°F (+5°F to +9.9°F) +13.3°F,-18% (-6% to +40%) +59%,n/a,n/a,n/a,n/a
2100,May,+4.2°F (+5.7°F to +10.4°F) +13.1°F,-27% (-10% to +22%) +46%,n/a,n/a,n/a,n/a
2100,June,+4.5°F (+6.4°F to +11.2°F) +13.6°F,-25% (-8% to +33%) +53%,n/a,n/a,n/a,n/a
2100,July,+4.2°F (+6.3°F to +11.7°F) +14°F,-37% (-21% to +25%) +53%,n/a,n/a,n/a,n/a
2100,August,+4.9°F (+6.5°F to +12.1°F) +14.3°F,-22% (-5% to +36%) +59%,n/a,n/a,n/a,n/a
2100,September,+4°F (+6.1°F to +12.1°F) +15.5°F,-41% (-14% to +25%) +49%,n/a,n/a,n/a,n/a
2100,October,+4°F (+6.1°F to +11.8°F) +14.5°F,-47% (-26% to +25%) +45%,n/a,n/a,n/a,n/a
2100,November,+3.4°F (+5.1°F to +11.3°F) +13.1°F,-44% (-21% to +24%) +47%,n/a,n/a,n/a,n/a
2100,December,+3.9°F (+6°F to +10.7°F) +13.6°F,-19% (-5% to +30%) +48%,n/a,n/a,n/a,n/a
